Kinase	Observed	SamplingAvg	SD	Z
DYRK	2	14.5445	2.6422548145954106	-4.747649594848348
ERK	5	15.816	2.6583222789325855	-4.068731652936763
PKG	23	12.956	2.5150003207368887	3.9936376616672296
PKA	26	16.1425	2.600879858436181	3.790063569459519
RSK	32	22.4665	2.621128174365616	3.6371742874830475
JNK	4	12.872	2.4875107748364558	-3.566617716694433
P38	5	14.032	2.5801753142618358	-3.500537327861371
AMPK	13	6.5375	1.9785224349278319	3.266326368563885
DMPK	35	27.765	2.3262589581493684	3.110143853354886
AKT	18	10.771	2.3969630192929405	3.0158996788079024
PDK1	10	16.997	2.5542617576441304	-2.739343365675073
PAKB	2	0.5425	0.6240099712521516	2.335699856006066
CAMK1	10	5.681	1.866006428176226	2.314568661063644
RAD53	14	8.8095	2.2493864985390806	2.3075180736485694
NMO	0	3.0115	1.4072519067190785	-2.139986441390673
MST	3	6.784	2.024943010827354	-1.8686945656085046
PAKA	13	8.952	2.2034344922826476	1.837131992885559
PIM	24	19.035	2.762171210279596	1.7974990042334944
PLK	8	12.4155	2.5375340962526636	-1.740075140870283
MOS	1	0.263	0.44037252864136633	1.6735830508632912
TAO	1	0.269	0.44355086369473135	1.6480635251408329
CDK	23	26.924	2.4095906423149485	-1.6284923800293827
PKD	15	11.591	2.3900994304931795	1.426300494660416
PKCI	5	2.973	1.4262847345716199	1.4211748544085787
AUR	5	2.9815	1.4248413372787194	1.4166489609678923
GSK	3	5.6875	1.901749740643605	-1.4131722710741506
LKB	1	3.0085	1.4298426399389177	-1.4047000305472792
MLCK	0	1.365	0.9753207807242991	-1.39953954327346
VRK1	0	1.351	0.9799383345750818	-1.3786581791249313
MARK	3	1.6215	1.069958015567685	1.2883683097309313
PDHK	20	16.71	2.60274607742895	1.2640495469500173
ATM	0	1.0485	0.8857426375703075	-1.1837524304759162
IRAK	2	3.8015	1.5599084611616163	-1.1548754589474293
MAPKAPK	16	13.3145	2.492327345634778	1.0775069353163245
STE7	11	13.754	2.5876305601762355	-1.0642941238924126
BARK2	0	0.7995	0.7801307916151067	-1.024828155218426
MSN	2	1.077	0.907459498474001	1.0171252838855422
SGK	9	6.955	2.0181703361591845	1.013294053212513
CHK1	5	3.4555	1.5537782542665848	0.9940285853266984
ATR	5	3.521	1.5128461097136872	0.9776275263581882
NUAK	0	0.5415	0.6200564369414258	-0.8733076019193932
PKN	0	0.536	0.6204002322888927	-0.8639584128176289
TLK	0	0.5385	0.6250704812685339	-0.8615028482982501
NAK	0	0.533	0.6261845203506419	-0.8511868030553331
TTK	0	0.539	0.635358828080802	-0.848339514897639
PKCH	3	4.365	1.672176152964535	-0.8163015586486183
RIPK	12	10.1845	2.32855552551742	0.779667901454308
PKCA	34	32.6425	1.829307774396297	0.7420839833515713
HAL	1	0.53	0.6405506635515166	0.7337436782815853
NDR	2	1.307	0.9681010328498273	0.7158343772860108
DAPK	5	6.4075	1.9744348422962041	-0.7128622175058067
FRAY	4	5.324	1.9062636020394006	-0.694552421073103
BUD32	0	0.2805	0.44935588385507713	-0.6242268324018758
KHS	0	0.277	0.4476284012356638	-0.6188168562033831
WNK	0	0.274	0.446120512592593	-0.6141838186450369
CAMKK	0	0.27	0.4440704891114133	-0.608011580639531
SLK	0	0.2675	0.4427660453167595	-0.6041565355550869
PASK	0	0.267	0.4425029993708812	-0.6033857406155468
PDK	0	0.264	0.44090951520725896	-0.5987623103935535
CLK	0	0.2565	0.43681020086049716	-0.587211561210581
BRSK	0	0.256	0.43653096068872355	-0.5864417946349183
ULK	0	0.256	0.43653096068872355	-0.5864417946349183
NIK	0	0.2545	0.4356887218314993	-0.5841326324219767
STE11	2	2.745	1.4046214724047081	-0.5303920057014094
MLK	4	4.873	1.7836652519083935	-0.489441614151508
PEK	25	26.1585	2.438514081456724	-0.47508440029509
QIK	18	19.1215	2.717062561753454	-0.41276193481398604
PHK	27	26.156	2.506552493506041	0.33671746440045863
COT	1	1.332	0.9895785127095315	-0.33549637116812703
MTOR	6	6.6345	2.010206510562423	-0.315639212521741
PKCD	4	3.5245	1.525635451792427	0.3116734075898328
CAMK2	5	4.6335	1.7546273417892122	0.20887626179714966
RAF	6	6.393	1.9538320628613228	-0.20114318291228378
MELK	8	7.582	2.097015674087508	0.1993308896853563
PRKDC	3	3.291	1.4867495458570192	-0.19572899874824337
NEK	6	5.689	1.838469195959575	0.16916247532647719
GRK	3	3.252	1.499873598142591	-0.1680141582011116
IKK	16	15.616	2.6189642011190934	0.14662285182665563
STKR	2	1.859	1.1669618245469622	0.12082657464372412
CK2	2	2.1425	1.230020416542976	-0.11585173553501031
CK1	11	11.0475	2.3782497316078786	-0.01997267123326271
